248,SHAVILA,641- MILLENNIUM-2,24AQHPJ2537N1ZN,
249,V.DARSHAN SAREES,"505, ABHINANDAN MARKET",24ALOPR6103Q1ZI,
250,ASHA SALES CORPORATION,"C-107, NEW T.T MARKET",,
251,VINAYAK CREATION,"Z-3189, 2nd FLOOR, STM",24AIFPJ4900M1ZC,
252,KUBER EXPORTS,"C-408, NEW BOMBAY MARKET,",,
253,VIKESH SILK MILLS,"3077, SHIV SHAKTI MARKET",24AQGPP5212K1ZU,
254,SHREE SHYAM TEXTILE,"2093, 2nd FLOOR, MILLENNIUM-4",24AENFS5871G1ZM,
255,JAISAL SILK MILLS,"5026 TO 5034, HTC-2",24AAWPJ0644F1ZQ,
256,MANGLAM PRINTS,"D-2015, STM",,
257,SHRESHTH SILK MILLS,"6073, R.R.T.M, SAROLI",24AAMHA8614C1ZM,
258,MAN FASHION,"U-1013, SOMESHWAR MARKET",24ABGFM5102Q1Z4,
259,SHAKTI SILK MILLS,"E-4340, RKTM",24ADRPM5312P1Z2,
260,KAMINI CREATION,"120, MILLENNIUM-4",24ANRPK5171A1Z5,
261,AAHMI CREATION,"E-2315, RKTM",,
262,AMBAJI CREATION,"4152, MILLENNIUM -4",24AKEPM5674J1ZV,
263,CHAUDHARY TEXTILE,"1027, SHIV TEXTILE MARKET, MOTI BEGUM WADI",24AFRPC4074N173,
264,SAHIL PRINTS,"C-1131, MILLENNIUM-1",24CPQPS0267E2ZO,9558227002
265,VIKRAM FASHION,"B/3011, RKLP, SAROLI",,
266,KREEPA OVERSEAS PVT LTD,"B-82, CENTRAL PARK, PANDESARA",24AAECK8013C2Z0,
267,VIR MANIBHADRA SILK FABRICS PVT.LTD,"3055 TO 3063, AADARSH-2, RING ROAD",24AAGCV7244Q1ZO,
268,RAMDEV INTERNATIONAL,"4012, SOMESHWAR MARKET",,
269,PUSHPA CREATION,"189, SHREE MAHAVIR MARKET, RING ROAD",24ACIPS4511Q1Z6,
270,VASUNDHARA TRENDZ,"C-3505 TO 3510, KOHINOOR MARKET",24BOSPT1526F1ZR,
271,R.K ENTERPRISE,"5069, SHIV SHAKTI MARKET",24ACJPJ4187A1ZV,
272,LAXMINARAYAN FABRICS,"4014, ANMOL MARKET",,
273,KALPATRU FABRICS,"H-3391 TO 3394, MILLENNIUM-1",,
274,VENCY KNITT FAB,"385 TO 388, KOHINOOR MARKET",24AEGPJ7674B1ZM,
275,LEENA SAREES,"S-619, J J MARKET",24AIEPK8412E1ZM,
276,VARDHMAN FASHION,C-3043 ASHIRWAD MARKET,24ABAPJ4082E1Z4,
277,RAGHUPATI TEXTILES,"J-3745, RKTM",24AKEPK8601K1Z6,
278,PARAM FABRICS,"609, KOHINOOR TEXTILE HOUSE",,
279,SHREE LAXMINARAYAN SYNTHETICS PVT,"301 TO 319, SANGINI TEXTILE HUB -B, SAROLI",24AAPCS6012C1ZN,
280,ANJANI SILK MILLS,"559, MILLENNIUM-2",24AGFPB5405Q1ZE,
281,RADHA MADHAV TEXTILE,"651, UPPER GROUNT, NTM",24AEQPS5756R1ZB,
282,WINS FAB,H-2039 STM,,
283,PRATIK SILK MILLS,"F-2002, NEW T.T MARKET",24AAUFP4942L1ZL,
284,AMBAJI SILK MILLS,"2026, VARDHMAN MARKET",24ANTPA4505C1ZH,
285,SWASTIK CREATION,"C-3294, RAGHUKUL MARKET",24BDJPP0849K1Z8,
286,MANGAL SHREE CREATION,"214, KOHINOOR TEXTILE HOUSE",24ABRFM1499B1Z4,
287,KRISHNA FASHION,"649, NTM",24ABOPD9996K2ZT,
288,TISHA TEXTILES,"264, BHIDBHANJAN SOCIETY, BAMROLI",24AAHPC5905F1Z6,
289,AAA CREATION,"B-1, 4017, REGENT MARKET",24ADUPB6922D1ZP,
290,ANURADHA TEXTILES,"D-7, LAXMINARAYAN IND, BRC ROAD, UDHNA",24AADFA1484H1ZR,
291,SALONI SAREE,"304, PANDESARA GIDC",24ACTFS8399H1Z5,
292,SHREE JAGDAMBA FASHION,"1094, ANUPAM TEXTILE MARKET",,
293,AMBEY SAREE,"342, MILLENIUM-2",,
294,PRIYANKA FASHION,"2004, LEGEND MARKET",,
295,RADHIKA SILK MILLS,"466, MILLENNIUM-2",24AADHB4022Q1ZF,
296,ARVI FASHION,"G-18, RAJ TEXTILE MARKET, DINDOLI",24ABRPP4033A1ZY,
297,MAHADEV IMPEX,"F-116, SHIV KRUPA MARKET, RING ROAD",,
298,R.G SAREES,"5003, RRTM, SAROLI",,
299,SHUBH ARAMBH FAB,"A-503, SALASAR TEXTILE MARKET,SAROLI",,
300,ANITA FABRICS,"3005, SHREE MAHAVEER TEXTILE MARKET, SAROLI",24BDCPS6339G1ZG,
301,,,,
302,ANAND FASHION,"2028, ABHISHEK MARKET",,
303,OM PADMAVATI SAREES,"F-410, GLOBAL TEXTILE MARKET",24ANAPB7828G1ZB,
304,JHALAK ,"N-3763, MILLENNIUM-1,",24BTYPM2000G1ZT,
305,SAAWARIYA SAREES,"1437, KOHINOOR MARKET",24AAWHS3167C1ZW,
306,K K FABRICS,"3004 TO 3011, GAUTAM MARKET",24AAUHS7814L1ZD,
307,MAMTA SAREES,"183, SILK CITY, NEAR ABHISHEK MARKET",24AASPA3018N1ZO,
308,POOJA IMPEX,"4035, SHIV SHAKTI MARKET",24AELPG3090B2ZX,
